MP db name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,Notes (State's Averages)
Mallikarjun Kharge,Elected,18-May-09,In office,Karnataka,Gulbarga,Indian National Congress,Male,Graduate,"B.A., LL.B; Educated at Karnataka University, Karnataka",68,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mallipudi Raju Pallam Mangapati,Elected,18-May-09,In office,Andhra Pradesh,Kakinada,Indian National Congress,Male,Post Graduate,"B.E., M.B.A., F.I.E.T.E.; Educated at Andhra University, Visakhapatnam, India and Temple University, Philadelphia, USA",47,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mamata Banerjee,Elected,18-May-09,In office,West Bengal,Kolkata Dakshin,All India Trinamool Congress,Female,Post Graduate,"M.A., B.Ed., LL.B., Trained in Work Education, Educated at Calcutta University, West Bengal",55,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Maneka Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Aonla,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"I.S.C.; Educated at Lawrence School, Sanawar, Himachal Pradesh",53,5,0,132,69%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Mangani Lal Mandal,Elected,18-May-09,In office,Bihar,Jhanjharpur,Janata Dal (United),Male,Post Graduate,"M.Com.; Educated at R.K. College, Madhubani (Bihar) and C.M. College, Darbhanga, Bihar University, Muzaffarpur (now Babasaheb Bhimrao Ambedkar Bihar University) ",62,17,0,71,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Manicka Tagore,Elected,18-May-09,In office,Tamil Nadu,Virudhunagar,Indian National Congress,Male,Graduate,"B.A., L.L.B.; Educated at Bangalore University",35,2,0,20,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
Manikrao Hodlya Gavit,Elected,18-May-09,In office,Maharashtra,Nandurbar,Indian National Congress,Male,Matric,,75,4,0,0,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Manish Tewari,Elected,18-May-09,In office,Punjab,Ludhiana,Indian National Congress,Male,Graduate,"B.A. (Hons.) Economics, LL.B; Educated at Punjab University, Chandigarh and University of Delhi, New Delhi",44,14,1,109,79%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.1,29,78%,
Manohar Tirkey,Elected,18-May-09,In office,West Bengal,Alipurduars,Revolutionary Socialist Party,Male,Inter/ Higher Secondary,"Educated at St. Joseph`s High School Alipurduar JN. Distt. Jalpaiguri, West Bengal",56,11,0,109,69%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Mansukhbhai D. Vasava,Elected,18-May-09,In office,Gujarat,Bharuch,Bharatiya Janata Party,Male,Post Graduate,"B.A., M.S.W.; Educated at South Gujarat University, Surat and Gujarat Vidyapith, Ahmedabad, Gujarat",53,12,0,203,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Marotrao Sainuji Kowase,Elected,18-May-09,In office,Maharashtra,Gadchiroli-Chimur,Indian National Congress,Male,Post Graduate,"M.A. (Political Science); Educated at Nagpur University, Maharashtra",60,5,0,24,82%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Mausam Noor,Elected,18-May-09,In office,West Bengal,Maldaha Uttar,Indian National Congress,Female,Graduate,LL.B.; Educated at Calcutta University,30,1,0,0,69%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Meena Singh,Elected,18-May-09,In office,Bihar,Arrah,Janata Dal (United),Female,Graduate,B.A.; Educated at Banaras Hindu University (B.H.U.) ,48,7,0,112,86%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Meenakshi Natrajan,Elected,18-May-09,In office,Madhya Pradesh,Mandsour,Indian National Congress,Female,Post Graduate,"M.Sc., (Biochemistry), LL.B.; Educated at Holkar Science College, GACC Indore, DAVV University",37,3,0,17,83%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Meira Kumar,Elected,18-May-09,In office,Bihar,Sasaram,Indian National Congress,Female,Post Graduate,"M.A., LL.B, Advanced Diploma in Spanish; Educated at Indraprastha College and Miranda House, University of Delhi (Delhi) and Madrid (Spain) ",65,N/A,N/A,N/A,N/A,"As Speaker, this MP does not not sign the attendance register, ask questions, introduce private member bills, or participate in debates. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mekapati Rajamohan Reddy,Elected,18-May-09,In office,Andhra Pradesh,Nellore,Indian National Congress,Male,Graduate,"B.E.; Educated at Regional Engineering College, Warangal, Andhra Pradesh",66,3,0,156,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Milind Murli Deora,Elected,18-May-09,In office,Maharashtra,Mumbai-South,Indian National Congress,Male,Graduate,"BBA (Bachelor of Science in Business Administration); Educated at Sydenham College, Mumbai and Boston University, USA",33,0,0,156,91%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Mirza Mehboob Beg,Elected,18-May-09,In office,Jammu and Kashmir,Anantnag,Jammu and Kashmir National Conference,Male,Graduate,M.B.B.S.; Educated at Srinagar Medical College,60,14,0,13,72%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.2,0,40,87%,
Mithlesh Kumar,Elected,18-May-09,In office,Uttar Pradesh,Shahjahanpur,Samajwadi Party,Male,Graduate,"B.Sc.; Educated at Bareli College, (Uttar Pradesh) ",45,11,0,40,85%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Modugula Venugopala Reddy,Elected,18-May-09,In office,Andhra Pradesh,Narasaraopet,Telugu Desam Party,Male,Graduate,"B.Com., LL.B.; Educated at JKC College, Guntur, Reddy College, Guntur, ILS Law College, Pune",44,2,0,28,61%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Mohammed Azharuddin,Elected,18-May-09,In office,Uttar Pradesh,Moradabad,Indian National Congress,Male,Graduate,B.Com; Educated at Nizam College (Osmania University) ,47,2,0,3,83%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Mohan Jena,Elected,18-May-09,In office,Orissa,Jajpur,Biju Janata Dal,Male,Post Graduate,"M.A. (Sociology); Educated at Kendrapara College, Kendrapara and P.G.Deptt. of Sociology, Utkal University, Vani Vihar, Bhubaneswar, Orissa",53,3,0,12,81%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Mohinder Singh Kaypee,Elected,18-May-09,In office,Punjab,Jalandhar,Indian National Congress,Male,Graduate,"B.A., L.L.B.; Educated at Punjab University, Chandigarh",53,0,0,3,82%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.1,29,78%,
Monazir Hassan,Elected,18-May-09,In office,Bihar,Begusarai,Janata Dal (United),Male,Doctorate,"M.A., Ph.D.; Educated at Bhagalpur, University and Bihar Unversity",53,2,0,22,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Mukul Balkrishna Wasnik,Elected,18-May-09,In office,Maharashtra,Ramtek,Indian National Congress,Male,Post Graduate,"M.A., M.B.A.; Educated at Mount Carmel Convent, SFS High School, Hislop College and Department of Business Management, Nagpur University, Nagpur, Maharashtra",50,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mulayam Singh Yadav,Elected,18-May-09,In office,Uttar Pradesh,Mainpuri,Samajwadi Party,Male,Post Graduate,"B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",70,46,0,0,86%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Munde Gopinathrao Pandurang,Elected,18-May-09,In office,Maharashtra,Beed,Bharatiya Janata Party,Male,Graduate,"B.Com., B.G.L.; Educated at Marathwada and Pune University",60,12,0,55,76%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Munisamy Thambidurai,Elected,18-May-09,In office,Tamil Nadu,Karur,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"M.A., M.Phil., M.Litt., Ph.D.; Educated at Madras Christian College, Madras University, Chennai, Tamil Nadu",63,24,0,69,67%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
Murarilal Singh,Elected,18-May-09,In office,Chhattisgarh,Surguja,Bharatiya Janata Party,Male,Inter/ Higher Secondary,,58,1,0,9,72%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,20,64%,
Murli Manohar Joshi,Elected,18-May-09,In office,Uttar Pradesh,Varanasi,Bharatiya Janata Party,Male,Doctorate,"M.Sc. (Physics), D. Phil.; Educated at Allahabad University, Allahabad, Uttar Pradesh",76,15,0,180,85%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
N Cheluvaraya Swamy @ Swamygowda,Elected,18-May-09,In office,Karnataka,Mandya,Janata Dal (Secular),Male,Diploma Course,"Diploma in Civil Engineering; Educated at Govt. Polytechnic, K. R. Pette, Karnataka",50,4,0,293,59%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
N. Peethambara Kurup,Elected,18-May-09,In office,Kerala,Kollam,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Kerala University, Kerala",68,2,0,36,86%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
N.Dharam Singh,Elected,18-May-09,In office,Karnataka,Bidar,Indian National Congress,Male,Post Graduate,"MA, LL.B.; Educated at Osmania University, Hyderabad",73,0,0,2,74%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
N.S.V. Chitthan,Elected,18-May-09,In office,Tamil Nadu,Dindigul,Indian National Congress,Male,Graduate,"B.A. (Economics); Educated at Madurai College, Madurai Thiaganajar College, Madurai",76,23,2,115,91%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
Nalin Kumar Kateel,Elected,18-May-09,In office,Karnataka,Dakshina Kannada,Bharatiya Janata Party,Male,Matric,"Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka",43,0,0,6,68%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
Nama Nageswara Rao,Elected,18-May-09,In office,Andhra Pradesh,Khammam,Telugu Desam Party,Male,Inter/ Higher Secondary,,53,27,0,165,96%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Namo Narain Meena,Elected,18-May-09,In office,Rajasthan,Tonk-Sawai Madhopur,Indian National Congress,Male,Post Graduate,"M. A. (Geography); Educated at M.B. College, Udaipur, Rajasthan",66,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Narahari Mahato,Elected,18-May-09,In office,West Bengal,Purulia,All India Forward Bloc,Male,Post Graduate,"B.A. (Pass), M.A. (Pol. Sc., History, Bengali), B.Ed.; Educated at Burdwan University, West Bengal and Ranchi University, Jharkhand",54,17,0,160,70%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Naramalli Sivaprasad,Elected,18-May-09,In office,Andhra Pradesh,Chittoor,Telugu Desam Party,Male,Graduate,"M.B.B.S.; Educated at S.V. Medical College, Tirupati, Chittoor (Andhra Pradesh) ",59,3,0,0,69%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Naranbhai Kachhadia,Elected,18-May-09,In office,Gujarat,Amreli,Bharatiya Janata Party,Male,Under Matric,"Educated at Charkhadiya, Govt. of Primary School",55,13,0,155,85%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Narayan Singh Amlabe,Elected,18-May-09,In office,Madhya Pradesh,Rajgarh,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Madhya Pradesh Board, Bhopal",59,5,0,24,90%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Narendra Singh Tomar,Elected,18-May-09,In office,Madhya Pradesh,Morena,Bharatiya Janata Party,Male,Graduate,"Educated at Jiwaji University, Gwalior, Madhya Pradesh",53,2,0,25,65%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Natubhai Gomanbhai Patel,Elected,18-May-09,In office,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Bharatiya Janata Party,Male,Under Matric,,38,0,0,15,61%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,0,0,15,61%,
Naveen Jindal,Elected,18-May-09,In office,Haryana,Kurukshetra,Indian National Congress,Male,Post Graduate,"MBA, B.Com. (Hons.), Educated at University of Texas, Dallas, U.S.A.; Hansraj College, University of Delhi, Delhi",40,7,0,137,81%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,33,73%,
Navjot Singh Sidhu,Elected,18-May-09,In office,Punjab,Amritsar,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.",46,2,0,44,34%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.1,29,78%,
Neeraj Shekhar,Elected,18-May-09,In office,Uttar Pradesh,Ballia,Samajwadi Party,Male,Graduate,B.A. (Hons.); Educated at Modern School and Atmaram Sanatan College,41,4,0,146,93%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Nikhil Kumar Choudhary,Elected,18-May-09,In office,Bihar,Katihar,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Eductaed at T.N.B. College, Bhagalpur, Bihar",64,1,0,15,77%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Nilesh Narayan Rane,Elected,18-May-09,In office,Maharashtra,Ratnagiri-Sindhudurg,Indian National Congress,Male,Doctorate,"Ph.d; Educated at Mumbai University, Maharashtra",29,0,0,120,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Ninong Ering,Elected,18-May-09,In office,Arunachal Pradesh,Arunachal East,Indian National Congress,Male,Graduate,"B.A.; Educated at J.N. College, Pasighat, Arunachal Pradesh",51,7,0,4,94%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,4.5,0,13,87%,
Nirmal Khatri,Elected,18-May-09,In office,Uttar Pradesh,Faizabad,Indian National Congress,Male,Doctorate,"M.A. (Pol Sc.), LL.B., Ph.D.; Educated at K. S. Saket Post-Graduate College, Ayodhya, Faizabad; (Uttar Pradesh) ",59,13,0,9,97%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Nishikant Dubey,Elected,18-May-09,In office,Jharkhand,Godda,Bharatiya Janata Party,Male,Post Graduate,"B.A. (H), M.B.A.; Educated at Marwari College Bhagalpur (Bihar) and F.M.S. Delhi University (Delhi) ",41,16,1,269,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.6,0.3,78,59%,
Nityananda Pradhan,Elected,18-May-09,In office,Orissa,Aska,Biju Janata Dal,Male,Post Graduate,"M.A., LL.B. Educated at Khallikote College, Berhampur, Ganjam, Orissa and Berhampur Law College, Berhampur",65,5,0,186,77%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Nripendra Nath Roy,Elected,18-May-09,In office,West Bengal,Cooch Behar,All India Forward Bloc,Male,Graduate,"B.A.; Educated at Dinhata College, Distt-Coochbehar, West Bengal",51,15,0,161,73%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
O. S. Manian,Elected,18-May-09,In office,Tamil Nadu,Mayiladuthurai,All India Anna Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,"P.U.C.; Educated at Kathir Mohaitheen College, Athirampattinam",56,10,0,2,53%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
Om Prakash Yadav,Elected,18-May-09,In office,Bihar,Siwan,Independent,Male,Graduate,"B.Sc.; Educated at D.A.V. College, Siwan, Bihar",48,3,5,74,60%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
P. Balram,Elected,18-May-09,In office,Andhra Pradesh,Mahabubabad,Indian National Congress,Male,Graduate,"B.A.; Educated at Andhra University, Hyderabad",46,4,0,258,78%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
P. C. Mohan,Elected,18-May-09,In office,Karnataka,Bangalore Central,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Educated at Vijiya College,47,0,0,11,73%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
P. Jaya Prada Nahata,Elected,18-May-09,In office,Uttar Pradesh,Rampur,Independent,Female,Graduate,"B.A.; Educated at Rajalakshmi Women`s College, Rajahmundry, East Godavari District (Andhra Pradesh) ",48,14,0,131,38%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
P. K. Biju,Elected,18-May-09,In office,Kerala,Alathur,Communist Party of India (Marxist),Male,Post Graduate,"M.Sc. (Polymer Chemistry); Educated at School of Chemical Sciences, Mahatama Gandhi University, Kottayam, Kerala",36,20,0,71,89%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
P. Karunakaran,Elected,18-May-09,In office,Kerala,Kasaragod,Communist Party of India (Marxist),Male,Post Graduate,"M.A.; Educated at M.A. College, Kothamangalam",65,33,0,128,83%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
P. Kumar,Elected,18-May-09,In office,Tamil Nadu,Tiruchirappalli,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L., Educated at Govt. Law College, Tiruchirappalli",39,14,0,81,77%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
P. Lingam,Elected,18-May-09,In office,Tamil Nadu,Tenkasi,Communist Party of India,Male,Graduate,"B.A. (History); Educated at Madurai Kamarajar University, Madurai, Tamil Nadu",44,24,0,82,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
P. T. Thomas,Elected,18-May-09,In office,Kerala,Idukki,Indian National Congress,Male,Post Graduate,"M.A. (History), LL.B.; Educated at (i) St. Georges High School Parathode, Idukki; (ii) Mar Ivanios College Thiruvananthapuram; (iii) Newman College, Thodupuzha, Idukki; (iv) Maharajas College Ernakulam; (V) Government Law College, Kozhikode; and (vi) Gove",59,36,4,113,100%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
P. Venugopal,Elected,18-May-09,In office,Tamil Nadu,Tiruvallur,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"M.B.B.S.; Educated at Stanley Medical College, Chennai, Tamil Nadu",58,5,0,3,72%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
P. Viswanathan,Elected,18-May-09,In office,Tamil Nadu,Kancheepuram,Indian National Congress,Male,Graduate,"B.A. (Economics); Educated at Periyar Arts College, Cuddalore, Madras University, Tamil Nadu",46,5,0,134,85%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
P.C. Chacko,Elected,18-May-09,In office,Kerala,Thrissur,Indian National Congress,Male,Post Graduate,"B.Sc. (Geology), M.A. (Public Admn.); Educated at Mar Ivanios College and University College, Trivandrum, Madural Kamaraj University",63,10,0,0,96%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
P.C. Gaddigoudar,Elected,18-May-09,In office,Karnataka,Bagalkot,Bharatiya Janata Party,Male,Graduate,"B.A., LLB; Educated at Basaveshwar Arts College, Bagalkot and Raja Lokhamagouda College, Belgaum",59,1,0,90,71%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
P.L. Punia,Elected,18-May-09,In office,Uttar Pradesh,Barabanki,Indian National Congress,Male,Doctorate,"M.A., Ph.D.; Educated at Punjab University, Chandigarh and Lucknow University, Lucknow, Uttar Pradesh",65,30,0,74,97%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
P.R. Natarajan,Elected,18-May-09,In office,Tamil Nadu,Coimbatore,Communist Party of India (Marxist),Male,Under Graduate,B.A (Incomplete); Educated at Madras University,59,5,0,69,72%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
Paban Singh Ghatowar,Elected,18-May-09,In office,Assam,Dibrugarh,Indian National Congress,Male,Graduate,"B.A.; Educated at Gauhati University, Guwahati, Assam; Industrial Relations Training (U.K.), 1975",59,7,0,12,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.2,0,17,80%,
Padamsinha Bajirao Patil,Elected,18-May-09,In office,Maharashtra,Osmanabad,Nationalist Congress Party,Male,Graduate,"M.B.B.S.; Educated B.J. Medical College, Pune, Maharashtra",70,0,0,10,41%,Complete attendance for this MP is not available (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Pakauri Lal,Elected,18-May-09,In office,Uttar Pradesh,Robertsganj,Samajwadi Party,Male,Under Matric,,58,5,0,33,94%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Palaniappan Chidambaram,Elected,18-May-09,In office,Tamil Nadu,Sivaganga,Indian National Congress,Male,Post Graduate,"B.Sc., B.L., M.B.A.; Educated at Madras University, Chennai, Tamil Nadu and Harvard University, Boston, Massachusetts (U.S.A.) ",64,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Paramjit Kaur Gulshan,Elected,18-May-09,In office,Punjab,Faridkot,Shiromani Akali Dal,Female,Post Graduate,"M.A. (Economics), M.A. (Sociology), B. Ed.; Educated at Punjab University, Chandigarh and Guru Nanak Dev University, Amritsar (Punjab) ",61,7,0,22,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.1,29,78%,
Partap Singh Bajwa,Elected,18-May-09,In office,Punjab,Gurdaspur,Indian National Congress,Male,Graduate,"B.A.; Educated at DAV College, Chandigarh, Punjab",51,6,0,55,76%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.1,29,78%,
Pashupati Nath Singh,Elected,18-May-09,In office,Jharkhand,Dhanbad,Bharatiya Janata Party,Male,Graduate,B.Sc.,61,4,0,63,85%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.6,0.3,78,59%,
Pawan Kumar Bansal,Elected,18-May-09,In office,Chandigarh,Chandigarh,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at Yadavindra Public School, Patiala Government College, Chandigarh; and Department of Law, Panjab University, Chandigarh",62,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,All MPs from this State are Ministers
Pinaki Misra,Elected,18-May-09,In office,Orissa,Puri,Biju Janata Dal,Male,Graduate,"B.A. (Hist.) Hons., LL.B.; Educated at St. Xavier`s School, Delhi, St. Stephen`s College and Faculty of Law, Delhi University",50,7,0,0,77%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Poonamben Veljibhai Jat,Elected,18-May-09,In office,Gujarat,Kachchh,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"Educated at Somaiya College, Mumbai",39,1,0,23,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Prabha Kishore Taviad,Elected,18-May-09,In office,Gujarat,Dahod,Indian National Congress,Female,Post Graduate,"M.D., D.G.O.; Educated at B.J. Medical College, Ahmedabad, Gujarat",55,9,0,4,99%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Prabhakar Ponnam,Elected,18-May-09,In office,Andhra Pradesh,Karimnagar,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Osmania University, Hyderabad, Andhra Pradesh",43,15,0,285,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Prabhatsinh Pratapsinh Chauhan,Elected,18-May-09,In office,Gujarat,Panchmahal,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at Shri K.K. High School, Vejalpur, Tel. Kalol, Distt. Panchmahal, Gujarat",69,0,0,67,73%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Prabodh Panda,Elected,18-May-09,In office,West Bengal,Medinipur,Communist Party of India,Male,Graduate,"B.A.; Educated at Dantan Bhattar College, Calcutta University, Dantan (West Bengal) ",64,45,1,199,96%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Pradeep Kumar Jain Aditya,Elected,18-May-09,In office,Uttar Pradesh,Jhansi,Indian National Congress,Male,Post Graduate,"M.A., M.Com., L.L.B.; Bundalkhand University",47,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pradeep Kumar Majhi,Elected,18-May-09,In office,Orissa,Nabarangpur,Indian National Congress,Male,Graduate,"B.A. (Eco), Advanced diploma in Computer Application, e-commerce; Educated at Panabeda High School Chandahandi, B.J.B. College BBSR, V.D. College Jeypone and NIIT Connought Place, New Delhi",34,3,0,339,68%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Pradeep Kumar Singh,Elected,18-May-09,In office,Bihar,Araria,Bharatiya Janata Party,Male,Matric,"Bihar School Examination Board, Patna",45,1,0,0,70%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Pradeep Tamta,Elected,18-May-09,In office,Uttarakhand,Almora,Indian National Congress,Male,Post Graduate,"M.A, LL.B and B.Ed.; Educated at Kumaon University, Nainital, Uttarakhand",52,7,1,0,100%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.5,2.8,20,91%,
